Location Id,phone_number,street_address,street_address_2,city,state,zip_code,zip5,foreign_id,foreign_id_type,inactive,address,Latitude,Longitude,Location Name
762,4794423411,3533 N. Shiloh Dr Ste 3,,Fayetteville,AR,72703,72703,101,msg-denticon-DataSource-1,FALSE,"3533 N. Shiloh Dr Ste 3, , Fayetteville AR72703",36.115881,-94.15635,[Archived] Rock Family Dental - Fayetteville
761,4797186092,4224 W. Sunset Ave,,Springdale,AR,72762,72762,122,msg-denticon-DataSource-1,FALSE,"4224 W. Sunset Ave, , Springdale AR72762",36.175731,-94.177145,[Archived] Rock Family Dental - Springdale
1213,9198344450,3614 Haworth Dr,,Raleigh,NC,27609,27609,23,remote_db-dentrix-Location-1213,FALSE,"3614 Haworth Dr, , Raleigh NC27609",35.83025,-78.633902,[Archived] Six Forks Smiles at Riccobene Associates Family Dentistry
1252,7754237400,1241 S. Taylor St,,Fallon,NV,89406,89406,1,msg-eaglesoft-DataSource-80,TRUE,"1241 S. Taylor St, , Fallon NV89406",39.463688,-118.7807,[ARCHIVED] The Dentists Office - Fallon
1391,4173083534,1402 S. Elliott Ave.,,Aurora,MO,65605,65605,36,msg-curve2-Location-1391,TRUE,"1402 S. Elliott Ave., , Aurora MO65605",36.960533,-93.718073,[Ignore] Access Dental & Dentures - AURORA
1397,4175011048,1701 W Sunshine,Suite Q,Springfield,MO,658072261,65807,3,msg-curve2-Location-1397,TRUE,"1701 W Sunshine, Suite Q, Springfield MO65807",37.183858,-93.315447,[Ignore] Access Dental & Dentures LLC
1393,7207213600,390 S Potomac Way,Ste A,Aurora,CO,80012,80012,2,msg-curve2-Location-1393,TRUE,"390 S Potomac Way, Ste A, Aurora CO80012",39.708065,-104.82794,[Ignore] Epic Oral Surgery
2080,7754234700,1241 S Taylor St,,Fallon,NV,89406,89406,3104,msg-opendental-DataSource-59,TRUE,"1241 S Taylor St, , Fallon NV89406",39.463688,-118.7807,[ignore] The Dentist Office
4388,4065879700,438 E. Mendenhall,Unit 1,Bozeman,MT,59715,59715,1,msg-eaglesoft-DataSource-1120,FALSE,"438 E. Mendenhall, Unit 1, Bozeman MT59715",45.680135,-111.03079,[re]THINK Dentistry
3898,8047949789,,,Inactive ID,,,,1000219,msg-dentrix_enterprise-DataSource-767,TRUE,", , Inactive ID ",44.302099,-114.59563,* INACTIVE *
1615,5122202729,1395 US Hwy 183 Ste 140a,,Leander,TX,78641,78641,0F84B22C-761D-4501-9F2E-4A869FAA2B73,msg-dolphin-DataSource-212,TRUE,"1395 US Hwy 183 Ste 140a, , Leander TX78641",30.560924,-97.846044,** Inactive ** Austin Children's Dentistry - Leander
1614,5122551900,893 N IH 35 Ste 110,,Round Rock,TX,78664,78664,C6FA0472-E014-4644-92BF-8BFD30417304,msg-dolphin-DataSource-212,TRUE,"893 N IH 35 Ste 110, , Round Rock TX78664",30.513357,-97.685998,**Inactive** Austin Children's Dentistry - Round Rock
1377,9107951287,8201 Market Street,,Wilmington,NC,28411,28411,4,msg-opendental-DataSource-115,FALSE,"8201 Market Street, , Wilmington NC28411",34.297747,-77.792979,*Don't use*: Riccobene Associates - Porters Neck
3940,8888750851,5216 S Welcome Way,,Happy Valley,OR,,,1,msg-opendental-DataSource-958,FALSE,"5216 S Welcome Way, , Happy Valley OR",45.44679,-122.53037,1086 Dentist
690,2123701100,"16 Park Avenue, Suite 2A",,New York,NY,10016,10016,1,msg-opendental-Location-690,FALSE,"16 Park Avenue, Suite 2A, , New York NY10016",40.747695,-73.981209,16 Park Dental Care
3202,6785810063,1610 Ridenour Blvd,Ste 103,Kennesaw,GA,30152,30152,1,msg-eaglesoft-DataSource-781,FALSE,"1610 Ridenour Blvd, Ste 103, Kennesaw GA30152",33.994779,-84.591123,1st Choice Dental - Kennesaw
3203,7709284511,10956 Highway 92,,Woodstock,GA,30188,30188,1,msg-eaglesoft-DataSource-782,FALSE,"10956 Highway 92, , Woodstock GA30188",34.086216,-84.5043,1st Choice Dental - Woodstock
573,2123552290,209 East 56th Street 1st Floor,,New York,NY,10022,10022,6,msg-softdent-Location-573,TRUE,"209 East 56th Street 1st Floor, , New York NY10022",40.759273,-73.966995,209 NYC Dental
1662,2126747777,80 Beekman Street,,New York,NY,10038,10038,dc2becf5-086c-48f3-a478-915ef3e02dc8,msg-practicefusion-DataSource-258,FALSE,"80 Beekman Street, , New York NY10038",40.708825,-74.003955,212 Skin
483,3103942796,270 26th Street Suite 301,,Santa Monica,CA,90402,90402,1,msg-eaglesoft-Location-483,FALSE,"270 26th Street Suite 301, , Santa Monica CA90402",34.046766,-118.49043,26th Street Dental
2412,2126822060,286 Madison Ave,Suite 500,New York,NY,10017,10017,4,remote_db-dentrix-DataSource-552,TRUE,"286 Madison Ave, Suite 500, New York NY10017",40.751711,-73.980258,286 Madison Dental - ARCHIVE
2795,2126822060,286 Madison Ave,Suite 500,New York,NY,10017,10017,5,remote_db-dentrix-DataSource-668,FALSE,"286 Madison Ave, Suite 500, New York NY10017",40.751711,-73.980258,286 Madison Dental - Midtown
880,7187093902,38 Meserole St.,,Brooklyn,NY,11206,11206,1,msg-opendental-Location-880,FALSE,"38 Meserole St., , Brooklyn NY11206",40.707434,-73.948943,38 Meserole Dental
442,5169447000,91 Main St.,,Port Washington,NY,11050,11050,1,remote_db-dentrix-Location-442,FALSE,"91 Main St., , Port Washington NY11050",43.297733,-73.58528,3V Dental Associates
4445,5419380400,13 NE 5th Avenue,,Milton-Freewater,OR,97862,97862,1,msg-eaglesoft-DataSource-1188,TRUE,"13 NE 5th Avenue, , Milton-Freewater OR97862",45.941327,-118.39726,4 Seasons Dental
739,7182993600,505 Claremont Parkway,,Bronx,NY,10457,10457,2,remote_db-dentrix-Location-739,TRUE,"505 Claremont Parkway, , Bronx NY10457",40.838498,-73.901438,505 Dental Associates
170,2123333200,45 West 54th Street,,New York,NY,10019,10019,2,remote_db-dentrix-Location-170,FALSE,"45 West 54th Street, , New York NY10019",40.762142,-73.977722,54th Street Dental
1744,9739160002,606 broadway,,Paterson,NJ,7514,7514,6aef852a-22f3-46d7-9c28-b8518f167fa9,msg-practicefusion-DataSource-232,FALSE,"606 broadway, , Paterson NJ7514",40.918161,-74.147896,606 Broadway Paterson
169,2122657724,8A East 63rd St,,New York,NY,10065,10065,1,remote_db-dentrix-Location-169,FALSE,"8A East 63rd St, , New York NY10065",40.766365,-73.97051,63rd Street Dental
609,2124303888,"65 Broadway, Suite 408",,New York,NY,10006,10006,1,remote_db-dentrix-Location-609,TRUE,"65 Broadway, Suite 408, , New York NY10006",40.70718,-74.012346,65 Broadway Dental
3193,6027773777,7102 N 35th Ave #1,,Pheonix,AZ,85051,85051,1,remote_db-dentrix-DataSource-773,FALSE,"7102 N 35th Ave #1, , Pheonix AZ85051",33.540622,-112.13496,7 Dental Phoenix
3081,6027773777,7102 N 35th Ave #1,,Phoenix,AZ,85051,85051,1,remote_db-dentrix-DataSource-743,TRUE,"7102 N 35th Ave #1, , Phoenix AZ85051",33.540622,-112.13496,7 Dental Phoenix
4915,7187054232,8118 Shoal Creek Blvd.,,Austin,TX,78757,78757,1,remote_db-dentrix-DataSource-1375,FALSE,"8118 Shoal Creek Blvd., , Austin TX78757",30.365614,-97.739202,8118 Dental Professionals
729,9146996988,88 W Lincoln Ave,,Mount Vernon,NY,10550,10550,1,remote_db-dentrix-Location-729,FALSE,"88 W Lincoln Ave, , Mount Vernon NY10550",40.917328,-73.841435,88 Smile Design
1724,4032692722,Gulf Canada Square,"375, 401 - 9th Avenue SW",Calgary,AB,T2P 3C5,T2P 3,1,remote_db-dentrix-DataSource-259,FALSE,"Gulf Canada Square, 375, 401 - 9th Avenue SW, Calgary ABT2P 3",37.589934,-82.330826,9th Avenue Dental
254,8018549140,1234 North 900 East Suite 100,,Provo,UT,84604,84604,1,msg-curve2-Institution-102,FALSE,"1234 North 900 East Suite 100, , Provo UT84604",40.250401,-111.6427,9th East Dental
4467,5414850175,1600 Executive Parkway,Suite 350,Eugene,OR,97401,97401,1,msg-eaglesoft-DataSource-1203,FALSE,"1600 Executive Parkway, Suite 350, Eugene OR97401",44.069937,-123.11086,A Child's Best Smile
127,8033667645,1658 Cranium Drive,Suite 106,Rock Hill,SC,29732,29732,1,remote_db-dentrix-Institution-21,FALSE,"1658 Cranium Drive, Suite 106, Rock Hill SC29732",34.948987,-81.060787,A Healthy Happy Smile
4078,8033667645,1658 Cranium Dr.,Ste. 106,Rock Hill,SC,29732,29732,1,remote_db-dentrix-DataSource-1027,FALSE,"1658 Cranium Dr., Ste. 106, Rock Hill SC29732",34.948987,-81.060787,A Healthy Smile
4324,4232327343,2806 West Market Street,,Johnson City,TN,37604,37604,1,remote_db-dentrix-DataSource-1100,FALSE,"2806 West Market Street, , Johnson City TN37604",36.309803,-82.397966,A Plus Extractions & Dentures
4452,6238491356,6749 W Bethany Home Rd,Ste 102,Glendale,AZ,85303,85303,1,remote_db-dentrix-DataSource-1191,FALSE,"6749 W Bethany Home Rd, Ste 102, Glendale AZ85303",33.523436,-112.20488,A to Z Dental
651,7189874040,125 Old Town Rd,,Staten Island,NY,10304,10304,1,remote_db-dentrix-Location-651,TRUE,"125 Old Town Rd, , Staten Island NY10304",40.596212,-74.088833,"A. Christopher Bernardini, DDS"
3400,7048670453,2924 E Franklin Blvd Suite 3,,Gastonia,NC,28056,28056,1000148,msg-dentrix_enterprise-DataSource-798,TRUE,"2924 E Franklin Blvd Suite 3, , Gastonia NC28056",35.259505,-81.126381,"A. K. Richardson and Associates, P.A."
2911,5125565999,1708 Central Texas Expressway,Suite 1A,Lampasas,TX,76550,76550,1,msg-opendental-DataSource-696,FALSE,"1708 Central Texas Expressway, Suite 1A, Lampasas TX76550",31.063705,-98.161583,A1 Dental
1408,7732273669,,,Chicago,IL,60657,60657,2,msg-ecw-DataSource-125,FALSE,", , Chicago IL60657",41.940293,-87.646857,Aayu Clinics
1409,7732273669,1645 W School Street,,Chicago,IL,60657,60657,9,msg-ecw-DataSource-125,FALSE,"1645 W School Street, , Chicago IL60657",41.941343,-87.670439,Aayu Clinics - COVID TESTING
3155,7732273669,3264 N Lincoln Ave,,Chicago,IL,60657,60657,10,msg-ecw-DataSource-125,FALSE,"3264 N Lincoln Ave, , Chicago IL60657",41.941355,-87.670106,Aayu Clinics - COVID Vaccine
1491,7732273669,,,Chicago,IL,60677,60677,7,msg-ecw-DataSource-125,TRUE,", , Chicago IL60677",41.811929,-87.68732,Aayu Clinics - Telemedicine
2404,8478823360,"80 W. Hillcrest Blvd., Suite 212",,Schaumburg,IL,60195,60195,5,remote_db-dentrix-DataSource-547,FALSE,"80 W. Hillcrest Blvd., Suite 212, , Schaumburg IL60195",42.061386,-88.084314,ABC Dentistry & Orthodontics
1941,5058883520,"4620 Jefferson Lane NE, Suite C",,Albuquerque,NM,87109,87109,9.00E+12,msg-dentrixascend-DataSource-358,FALSE,"4620 Jefferson Lane NE, Suite C, , Albuquerque NM87109",35.133424,-106.59286,ABQ Pediatric Dentistry
2344,6238821500,13677 W. MCDOWELL RD.,,GOODYEAR,AZ,853952635,85395,25,msg-ecw-DataSource-520,TRUE,"13677 W. MCDOWELL RD., , GOODYEAR AZ85395",33.462504,-112.35285,Abrazo West Valley Hospital Ip
2345,6238821500,13677 W. MCDOWELL RD.,,GOODYEAR,AZ,853952635,85395,26,msg-ecw-DataSource-520,TRUE,"13677 W. MCDOWELL RD., , GOODYEAR AZ85395",33.462504,-112.35285,Abrazo West Valley Hospital Op
4511,8885443041,1300 Old Plank Road,Suite # 400,Mayfield,PA,18433,18433,3,none-none-DataSource-1223,FALSE,"1300 Old Plank Road, Suite # 400, Mayfield PA18433",41.543006,-75.537395,Absolute Genomics
4510,7039579749,4660 KENMORE AVE STE 200,,Alexandria,VA,22304,22304,100,none-none-DataSource-1222,FALSE,"4660 KENMORE AVE STE 200, , Alexandria VA22304",38.828211,-77.110358,Abyssinia Medical Center
133,6094030710,731 NJ-33,,Hamilton Township,NJ,8619,8619,1,--DataSource-,FALSE,"731 NJ-33, , Hamilton Township NJ8619",40.230857,-74.678017,Academy Dental
2852,2156218795,10101 Academy Rd,,Philadelphia,PA,19114,19114,1000986,msg-dentrix_enterprise-DataSource-609,FALSE,"10101 Academy Rd, , Philadelphia PA19114",40.079043,-74.997673,Academy Dental Associates
2868,2156375800,"Academy Dentistry Group, LLC",10101 Academy Road #204,Philadelphia,PA,19114,19114,1001040,msg-dentrix_enterprise-DataSource-609,FALSE,"Academy Dentistry Group, LLC, 10101 Academy Road #204, Philadelphia PA19114",40.064201,-75.009247,"Academy Dentistry Group, LLC"
2212,4173083534,1402 S. Elliott Ave.,,Aurora,MO,65605,65605,36,msg-curve2-Location-842,FALSE,"1402 S. Elliott Ave., , Aurora MO65605",36.960533,-93.718073,Access Dental & Dentures - AURORA
2044,4173083534,1402 S. Elliott Ave.,,Aurora,MO,65605,65605,36,msg-curve2-Location-2044,TRUE,"1402 S. Elliott Ave., , Aurora MO65605",36.960533,-93.718073,Access Dental & Dentures - AURORA
845,4179261160,921-A N. Main,,Mountain Grove,MO,65711,65711,1,msg-curve2-Location-845,FALSE,"921-A N. Main, , Mountain Grove MO65711",37.137219,-92.262936,Access Dental & Dentures - Mountain Grove
843,5733481466,4320 Osage Beach Parkway,Suite A,Osage Beach,MO,65065,65065,1,msg-curve2-Location-843,FALSE,"4320 Osage Beach Parkway, Suite A, Osage Beach MO65065",38.152329,-92.626989,Access Dental & Dentures - Osage Beach
844,5734265447,416 S. Bishop Ave. (Hwy 63),,Rolla,MO,65401,65401,3,msg-curve2-Location-844,FALSE,"416 S. Bishop Ave. (Hwy 63), , Rolla MO65401",37.939946,-91.777453,Access Dental & Dentures - Rolla
842,4175011048,"1701 West Sunshine Street, Suite Q",,Springfield,MO,65807,65807,1,msg-curve2-Location-842,FALSE,"1701 West Sunshine Street, Suite Q, , Springfield MO65807",37.183858,-93.315447,Access Dental & Dentures - Springfield
2211,4175011048,1701 W Sunshine,Suite Q,Springfield,MO,658072261,65807,3,msg-curve2-Location-843,FALSE,"1701 W Sunshine, Suite Q, Springfield MO65807",37.183858,-93.315447,Access Dental & Dentures LLC
2045,4175011048,1701 W Sunshine,Suite Q,Springfield,MO,658072261,65807,3,msg-curve2-Location-2045,TRUE,"1701 W Sunshine, Suite Q, Springfield MO65807",37.183858,-93.315447,Access Dental & Dentures LLC
1660,6108763300,130 E Brookhaven Rd,,Brookhaven,PA,19015,19015,1,remote_db-dentrix-DataSource-256,FALSE,"130 E Brookhaven Rd, , Brookhaven PA19015",39.874319,-75.387079,Access Dental Center
1908,2542768800,901 Interstate 35,,Bellmead,TX,76705,76705,110,msg-denticon-DataSource-639,FALSE,"901 Interstate 35, , Bellmead TX76705",31.584036,-97.109976,Ace Dental - Bellmead
832,2549397800,"201 Sparta Road, Suite 201",,Belton,TX,76513,76513,103,msg-denticon-DataSource-639,FALSE,"201 Sparta Road, Suite 201, , Belton TX76513",31.096631,-97.51424,Ace Dental - Belton
840,2547815720,Cove Retail Center 301 Constitution Dr.,,Copperas Cove,TX,76522,76522,109,msg-denticon-DataSource-639,FALSE,"Cove Retail Center 301 Constitution Dr., , Copperas Cove TX76522",31.202919,-97.930051,Ace Dental - Copperas Cove
833,2542211444,"300 East Central Texas Expressway, Suite 300",,Harker Heights,TX,76548,76548,102,msg-denticon-DataSource-639,FALSE,"300 East Central Texas Expressway, Suite 300, , Harker Heights TX76548",31.070165,-97.67141,Ace Dental - Harker Heights
838,2549353280,"231 Enterprise Dr, Unit # 3",,Hewitt,TX,76643,76643,108,msg-denticon-DataSource-639,FALSE,"231 Enterprise Dr, Unit # 3, , Hewitt TX76643",31.460974,-97.171874,Ace Dental - Hewitt
834,2546996000,"3650 West Stan Schlueter Loop, Suite 160",,Killeen,TX,76549,76549,104,msg-denticon-DataSource-639,FALSE,"3650 West Stan Schlueter Loop, Suite 160, , Killeen TX76549",31.085947,-97.788545,Ace Dental - Killeen
839,8307305600,"Interstate Plaza Shopping Center 1671 N IH 35 South, Ste #300",,New Braunfels,TX,78130,78130,107,msg-denticon-DataSource-639,FALSE,"Interstate Plaza Shopping Center 1671 N IH 35 South, Ste #300, , New Braunfels TX78130",29.696878,-98.070726,Ace Dental - New Braunfels
835,5123527800,"100 Carlos G Parker Boulevard, Suite 110",,Taylor,TX,76574,76574,105,msg-denticon-DataSource-639,FALSE,"100 Carlos G Parker Boulevard, Suite 110, , Taylor TX76574",30.60256,-97.418778,Ace Dental - Taylor
836,2547421800,"3108 South 31st Street, Suite 3108",,Temple,TX,76502,76502,101,msg-denticon-DataSource-639,FALSE,"3108 South 31st Street, Suite 3108, , Temple TX76502",31.071491,-97.371988,Ace Dental - Temple
837,2547724000,"1428 Wooded Acres Drive, Suite 126",,Waco,TX,76710,76710,106,msg-denticon-DataSource-639,FALSE,"1428 Wooded Acres Drive, Suite 126, , Waco TX76710",31.533714,-97.190146,Ace Dental - Waco
910,7205417098,3512 Delgany St,,Denver,CO,80216,80216,40463,msg-drchrono-Location-910,TRUE,"3512 Delgany St, , Denver CO80216",39.771247,-104.97915,Action Spine & Sports Medicine
57,4086455164,1432 W San Carlos Street,Suite 10,San Jose,CA,95126,95126,1,msg-drchrono-Institution-10,FALSE,"1432 W San Carlos Street, Suite 10, San Jose CA95126",37.32252,-121.91501,Action Urgent Care: Blossom Hill
55,4088094183,1680 E Capitol Expressway,Suite 10,San Jose,CA,95121,95121,1,msg-drchrono-Institution-10,FALSE,"1680 E Capitol Expressway, Suite 10, San Jose CA95121",37.30617,-121.81065,Action Urgent Care: Blossom Hill
56,4086887934,4735 Hamilton Avenue,Suite 80,San Jose,CA,95130,95130,1,msg-drchrono-Institution-10,FALSE,"4735 Hamilton Avenue, Suite 80, San Jose CA95130",37.291907,-121.98598,Action Urgent Care: Blossom Hill
54,4084408335,1375 Blossom Hill Road,Suite 49,San Jose,CA,95118,95118,1,msg-drchrono-Institution-10,FALSE,"1375 Blossom Hill Road, Suite 49, San Jose CA95118",37.244659,-121.89002,Action Urgent Care: Blossom Hill
986,9724171936,2810 E Trinity Mills Rd #130,,Carrollton,TX,75006,75006,152206,msg-drchrono-Institution-426,TRUE,"2810 E Trinity Mills Rd #130, , Carrollton TX75006",32.985989,-96.85326,AD Precision Health
2269,5802720025,325 North Monte Vista,,Ada,OK,74820,74820,2,msg-ecw-DataSource-496,FALSE,"325 North Monte Vista, , Ada OK74820",34.77632,-96.634907,Ada Adult Medicine Clinic
3882,4132241493,250 North Main St. Suite A,,East Longmeadow,MA,1028,1028,130,msg-denticon-DataSource-922,FALSE,"250 North Main St. Suite A, , East Longmeadow MA1028",42.073644,-72.52049,ADC Billing
4069,4177825005,2827 Arizona Avenue,,Joplin,MO,64804,64804,1,msg-opendental-DataSource-1036,FALSE,"2827 Arizona Avenue, , Joplin MO64804",37.059182,-94.481469,ADC Dental Group
1247,6317607606,562 E. Jericho Turnpike,,Huntington Station,NY,11746,11746,2,msg-eaglesoft-DataSource-75,TRUE,"562 E. Jericho Turnpike, , Huntington Station NY11746",40.832329,-73.390637,Adelberg Montalvan Pediatric Dental - Huntington Station
1248,5167981111,4934 Sunrise Hwy,,Massapequa Park,NY,11762,11762,8,msg-eaglesoft-DataSource-76,TRUE,"4934 Sunrise Hwy, , Massapequa Park NY11762",40.677197,-73.453015,Adelberg Montalvan Pediatric Dental - Massapequa Park
1249,6313607337,62 Lake Ave.,Suite A,Nesconset,NY,11767,11767,5,msg-eaglesoft-DataSource-77,TRUE,"62 Lake Ave., Suite A, Nesconset NY11767",40.857525,-73.154496,Adelberg Montalvan Pediatric Dental - Nesconset
1250,6316617337,615 Montauk Hwy,,West Islip,NY,11795,11795,6,msg-eaglesoft-DataSource-78,TRUE,"615 Montauk Hwy, , West Islip NY11795",40.696765,-73.303858,Adelberg Montalvan Pediatric Dental - West Islip
787,7188963376,64-05 Yellowstone Blvd. CFU 101,,Forest Hills,NY,11375,11375,1191,msg-mdland-Institution-350,FALSE,"64-05 Yellowstone Blvd. CFU 101, , Forest Hills NY11375",40.731992,-73.851502,Adult and Pediatric Dermatology
147,5162044723,200 Garden City Plaza #101,,Garden City,NY,11530,11530,,msg-eaglesoft-Institution-38,FALSE,"200 Garden City Plaza #101, , Garden City NY11530",40.737568,-73.616475,Advanced DDS
